FID,saison,baumart,link,last_update,_geometry
stadtbaum.1ab9b119-0ac6-4264-ab5d-8004c3c5a979,2019/2020,Feldahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (347170 5680878)
stadtbaum.fdc27f80-70a6-4ef9-9ef0-4a2583a5325f,2019/2020,Feldahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (347209 5680906)
stadtbaum.a74cc42f-b5dd-499c-93dd-45ecb8803148,2019/2020,Rotahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (347616 5680922)
stadtbaum.2e85f3aa-4a34-4875-b3a0-0afbde5bea41,2019/2020,Rotahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (347634 5680903)
stadtbaum.827bfcb0-0b35-403d-8cf7-c4724596d39a,2019/2020,Rotahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (347792 5680747)
stadtbaum.a3ba7306-8905-494d-af1d-cae26549c335,2019/2020,Rotahorn,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (347801 5680735)
stadtbaum.3b7f2058-ec6e-4607-96ec-8a2efc60ad72,2019/2020,Zürgelbaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (350111 5678212)
stadtbaum.3c9dc2cc-bfad-4fcd-8d0f-9b8ff46026a4,2019/2020,Zürgelbaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (350122 5678202)
stadtbaum.659ce99c-48b5-4648-ac0a-954bd00324d1,2019/2020,Zürgelbaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (350191 5678135)
stadtbaum.39838084-92ed-4ff9-8f62-39a824c5b5ed,2019/2020,Zürgelbaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (350182 5678143)
stadtbaum.76c3fac9-4f13-45d2-9ce2-be755150d710,2019/2020,Zürgelbaum,https://www.duesseldorf.de/stadtgruen/baeume-in-der-stadt/stadtbaumkonzept.html,2022-08-09,POINT (350164 5678161)
