Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
13.07.2013;12,6;17,4;22,6;5,8;0;9,7;52;72,1;94;6;20
14.07.2013;11;16,9;21,5;12,9;0;8,4;63;80,5;100;6;26
15.07.2013;11,7;19,5;27;12,2;0;9,4;44;70,5;100;5;24
16.07.2013;12,5;20,8;28,1;12,2;0;10,3;37;65,8;100;5;24
17.07.2013;13,7;21,8;27,9;9,9;0;11,1;45;66,2;96;7;28
18.07.2013;15,6;23,8;30,4;14;0;13,6;42;61,3;97;8;41
19.07.2013;16,4;22,5;28,3;13,3;0;15,2;45;61;82;11;37
20.07.2013;15,3;19,2;23,7;8,5;0;13;62;74,8;91;8;28
21.07.2013;13,6;23,3;32,4;14,8;0;11,4;34;64;100;5;26
22.07.2013;15,8;25,6;34,1;12,9;0;13,7;32;60,5;93;5;19
23.07.2013;18;23,4;32,2;5,4;5,7;16,3;42;75,5;97;5;39
24.07.2013;17,2;21,3;27,1;2,6;0,3;15,4;62;83,6;100;6;28
25.07.2013;16,2;21,4;27,9;9,2;33,3;14,5;63;87,2;100;6;59
26.07.2013;18,1;22,4;28;3,2;0;16,8;57;85;100;5;26
27.07.2013;18,7;24,2;31,1;11;1,5;17,4;59;82;100;5;54
28.07.2013;16,4;21,2;24,1;3,5;0;14,9;64;78,7;97;6;30
29.07.2013;16,9;21;24,8;6,5;0;15,3;54;74,5;100;8;33
30.07.2013;15,6;18,6;22,9;5,3;4,4;14,5;58;78;97;9;39
31.07.2013;15,4;20;24,9;5,9;0;13,8;58;78,8;98;9;41
01.08.2013;15,3;23,9;32,5;13,6;0;13,5;40;67,8;99;8;31
02.08.2013;17,5;27,6;36,4;14;1,7;15,2;31;54;82;9;35
03.08.2013;17;22,8;26,8;9,8;0;14,9;42;65,4;98;9;39
04.08.2013;13,9;21,1;28,2;11,5;0;12,1;38;64,6;97;4;22
05.08.2013;14;23,7;31,6;12,4;0;11,7;37;59;89;8;28
06.08.2013;16,4;21,1;25,1;9,3;0;13,6;48;64,3;79;9;33
07.08.2013;14,8;18,8;25,2;1,5;1,6;13,5;66;85,9;98;8;33
08.08.2013;12,9;17;22,7;3,2;0,1;10,6;53;79,6;100;7;24
09.08.2013;11,8;18,1;24,5;7,4;0;10;43;72,7;100;5;26
10.08.2013;12,3;17,4;21,7;5,3;0;9,4;50;71,5;91;9;37
11.08.2013;11,9;16,9;23,9;3,7;1,3;9,3;44;71;100;8;35
12.08.2013;12,2;17,2;22,2;3,1;0;10,3;51;76,5;100;7;24
13.08.2013;9,8;15,8;19,6;6,2;0,4;6,4;59;72,8;90;9;39
14.08.2013;8;14,7;21,5;3,4;0;5,2;52;79,6;100;4;28
15.08.2013;10;16,6;22,4;3,8;0;7,8;55;81,4;100;5;31
16.08.2013;12,6;21,4;30,2;13;0,3;10,2;34;64,8;100;6;28
17.08.2013;15,8;21;26,5;8,9;0;15,1;47;67,1;98;7;43
18.08.2013;16,5;19,8;22,3;0,9;6,8;15,6;67;81,1;100;8;30
19.08.2013;11,1;16,7;20,3;5;1;9,1;60;84,8;100;8;35
